,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,day,National confirmed cumulative,National confirmed new,National recovered cumulative,National recovered new,National deceased cumulative,National deceased new
0,1,2020-01-30,6:00 PM,Kerala,1,0,0,0,1,0,1,1,0,0,0,0
1,2,2020-01-31,6:00 PM,Kerala,1,0,0,0,1,1,1,0,0,0,0,0
2,3,2020-02-01,6:00 PM,Kerala,2,0,0,0,2,2,2,1,0,0,0,0
3,4,2020-02-02,6:00 PM,Kerala,3,0,0,0,3,3,3,1,0,0,0,0
4,5,2020-02-03,6:00 PM,Kerala,3,0,0,0,3,4,3,0,0,0,0,0
5,6,2020-02-04,6:00 PM,Kerala,3,0,0,0,3,5,3,0,0,0,0,0
6,7,2020-02-05,6:00 PM,Kerala,3,0,0,0,3,6,3,0,0,0,0,0
7,8,2020-02-06,6:00 PM,Kerala,3,0,0,0,3,7,3,0,0,0,0,0
8,9,2020-02-07,6:00 PM,Kerala,3,0,0,0,3,8,3,0,0,0,0,0
9,10,2020-02-08,6:00 PM,Kerala,3,0,0,0,3,9,3,0,0,0,0,0
10,11,2020-02-09,6:00 PM,Kerala,3,0,0,0,3,10,3,0,0,0,0,0
11,12,2020-02-10,6:00 PM,Kerala,3,0,0,0,3,11,3,0,0,0,0,0
12,13,2020-02-11,6:00 PM,Kerala,3,0,0,0,3,12,3,0,0,0,0,0
13,14,2020-02-12,6:00 PM,Kerala,3,0,0,0,3,13,3,0,0,0,0,0
14,15,2020-02-13,6:00 PM,Kerala,3,0,0,0,3,14,3,0,0,0,0,0
15,16,2020-02-14,6:00 PM,Kerala,3,0,0,0,3,15,3,0,0,0,0,0
16,17,2020-02-15,6:00 PM,Kerala,3,0,0,0,3,16,3,0,0,0,0,0
17,18,2020-02-16,6:00 PM,Kerala,3,0,0,0,3,17,3,0,0,0,0,0
18,19,2020-02-17,6:00 PM,Kerala,3,0,0,0,3,18,3,0,0,0,0,0
