,index,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,day,National confirmed cumulative,National confirmed new,National recovered cumulative,National recovered new,National deceased cumulative,National deceased new
0,76,77,2020-03-09,6:00 PM,Maharashtra,2,0,0,0,2,0,2,2,0,0,0,0
1,91,92,2020-03-10,6:00 PM,Maharashtra,5,0,0,0,5,1,5,3,0,0,0,0
2,97,98,2020-03-11,6:00 PM,Maharashtra,2,0,0,0,2,2,5,0,0,0,0,0
3,120,121,2020-03-12,6:00 PM,Maharashtra,11,0,0,0,11,3,14,9,0,0,0,0
4,133,134,2020-03-13,6:00 PM,Maharashtra,14,0,0,0,14,4,17,3,0,0,0,0
5,146,147,2020-03-14,6:00 PM,Maharashtra,14,0,0,0,14,5,17,0,0,0,0,0
6,153,154,2020-03-15,6:00 PM,Maharashtra,32,0,0,0,32,6,35,18,0,0,0,0
7,167,168,2020-03-16,6:00 PM,Maharashtra,32,0,0,0,32,7,35,0,0,0,0,0
8,182,183,2020-03-17,6:00 PM,Maharashtra,36,3,0,1,39,8,42,7,0,0,1,1
9,197,198,2020-03-18,6:00 PM,Maharashtra,39,3,0,1,42,9,45,3,0,0,1,0
10,215,216,2020-03-19,6:00 PM,Maharashtra,44,3,0,1,47,10,50,5,0,0,1,0
11,235,236,2020-03-20,6:00 PM,Maharashtra,49,3,0,1,52,11,55,5,0,0,1,0
12,257,258,2020-03-21,6:00 PM,Maharashtra,60,3,0,1,63,12,66,11,0,0,1,0
13,280,281,2020-03-22,6:00 PM,Maharashtra,64,3,0,2,67,13,70,4,0,0,2,1
14,303,304,2020-03-23,6:00 PM,Maharashtra,71,3,0,2,74,14,77,7,0,0,2,0
15,326,327,2020-03-24,6:00 PM,Maharashtra,86,3,0,2,89,15,92,15,0,0,2,0
16,350,351,2020-03-25,6:00 PM,Maharashtra,125,3,1,3,128,16,131,39,1,1,3,1
17,380,381,2020-03-26,6:00 PM,Maharashtra,121,3,1,3,124,17,131,0,1,0,3,0
18,407,408,2020-03-27,10:00 AM,Maharashtra,127,3,15,4,130,18,137,6,15,14,4,1
19,434,435,2020-03-28,6:00 PM,Maharashtra,177,3,25,5,180,19,187,50,25,10,5,1
20,461,462,2020-03-29,7:30 PM,Maharashtra,-,-,25,6,186,20,193,6,25,0,6,1
21,488,489,2020-03-30,9:30 PM,Maharashtra,-,-,25,8,198,21,205,12,25,0,8,2
22,516,517,2020-03-31,8:30 PM,Maharashtra,-,-,39,9,216,22,223,18,39,14,9,1
23,546,547,2020-04-01,7:30 PM,Maharashtra,-,-,39,9,302,23,309,86,39,0,9,0
24,575,576,2020-04-02,6:00 PM,Maharashtra,-,-,42,13,335,24,342,33,42,3,13,4
25,605,606,2020-04-03,6:00 PM,Maharashtra,-,-,42,16,335,25,342,0,42,0,16,3
26,636,637,2020-04-04,6:00 PM,Maharashtra,-,-,42,24,490,26,497,155,42,0,24,8
27,666,667,2020-04-05,6:00 PM,Maharashtra,-,-,42,24,490,27,497,0,42,0,24,0
28,696,697,2020-04-06,6:00 PM,Maharashtra,-,-,56,45,748,28,755,258,56,14,45,21
29,726,727,2020-04-07,6:00 PM,Maharashtra,-,-,56,48,868,29,875,120,56,0,48,3
30,757,758,2020-04-08,5:00 PM,Maharashtra,-,-,79,64,1018,30,1025,150,79,23,64,16
31,788,789,2020-04-09,5:00 PM,Maharashtra,-,-,117,72,1135,31,1142,117,117,38,72,8
32,819,820,2020-04-10,5:00 PM,Maharashtra,-,-,125,97,1364,32,1371,229,125,8,97,25
33,850,851,2020-04-11,5:00 PM,Maharashtra,-,-,188,110,1574,33,1581,210,188,63,110,13
34,881,882,2020-04-12,5:00 PM,Maharashtra,-,-,208,127,1761,34,1768,187,208,20,127,17
35,912,913,2020-04-13,5:00 PM,Maharashtra,-,-,217,149,1985,35,1992,224,217,9,149,22
36,944,945,2020-04-14,5:00 PM,Maharashtra,-,-,229,160,2337,36,2344,352,229,12,160,11
37,977,978,2020-04-15,5:00 PM,Maharashtra,-,-,259,178,2687,37,2694,350,259,30,178,18
38,1010,1011,2020-04-16,5:00 PM,Maharashtra,-,-,295,187,2919,38,2926,232,295,36,187,9
39,1043,1044,2020-04-17,5:00 PM,Maharashtra,-,-,300,194,3205,39,3212,286,300,5,194,7
40,1076,1077,2020-04-18,5:00 PM,Maharashtra,-,-,331,201,3323,40,3330,118,331,31,201,7
41,1109,1110,2020-04-19,5:00 PM,Maharashtra,-,-,365,211,3651,41,3658,328,365,34,211,10
42,1142,1143,2020-04-20,5:00 PM,Maharashtra,-,-,507,223,4203,42,4210,552,507,142,223,12
