,index,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,day,National confirmed cumulative,National confirmed new,National recovered cumulative,National recovered new,National deceased cumulative,National deceased new
0,77,78,2020-03-09,6:00 PM,Punjab,1,0,0,0,1,0,1,1,0,0,0,0
1,92,93,2020-03-10,6:00 PM,Punjab,1,0,0,0,1,1,1,0,0,0,0,0
2,107,108,2020-03-11,6:00 PM,Punjab,1,0,0,0,1,2,1,0,0,0,0,0
3,118,119,2020-03-12,6:00 PM,Punjab,1,0,0,0,1,3,1,0,0,0,0,0
4,131,132,2020-03-13,6:00 PM,Punjab,1,0,0,0,1,4,1,0,0,0,0,0
5,144,145,2020-03-14,6:00 PM,Punjab,1,0,0,0,1,5,1,0,0,0,0,0
6,154,155,2020-03-15,6:00 PM,Punjab,1,0,0,0,1,6,1,0,0,0,0,0
7,169,170,2020-03-16,6:00 PM,Punjab,1,0,0,0,1,7,1,0,0,0,0,0
8,184,185,2020-03-17,6:00 PM,Punjab,1,0,0,0,1,8,1,0,0,0,0,0
9,200,201,2020-03-18,6:00 PM,Punjab,1,0,0,0,1,9,1,0,0,0,0,0
10,218,219,2020-03-19,6:00 PM,Punjab,2,0,0,1,2,10,2,1,0,0,1,1
11,238,239,2020-03-20,6:00 PM,Punjab,2,0,0,1,2,11,2,0,0,0,1,0
12,260,261,2020-03-21,6:00 PM,Punjab,13,0,0,1,13,12,13,11,0,0,1,0
13,283,284,2020-03-22,6:00 PM,Punjab,21,0,0,1,21,13,21,8,0,0,1,0
14,306,307,2020-03-23,6:00 PM,Punjab,21,0,0,1,21,14,21,0,0,0,1,0
15,330,331,2020-03-24,6:00 PM,Punjab,29,0,0,1,29,15,29,8,0,0,1,0
16,355,356,2020-03-25,6:00 PM,Punjab,29,0,0,1,29,16,29,0,0,0,1,0
17,385,386,2020-03-26,6:00 PM,Punjab,33,0,0,1,33,17,33,4,0,0,1,0
18,412,413,2020-03-27,10:00 AM,Punjab,33,0,0,1,33,18,33,0,0,0,1,0
19,439,440,2020-03-28,6:00 PM,Punjab,38,0,1,1,38,19,38,5,1,1,1,0
20,466,467,2020-03-29,7:30 PM,Punjab,-,-,1,1,38,20,38,0,1,0,1,0
21,493,494,2020-03-30,9:30 PM,Punjab,-,-,1,1,38,21,38,0,1,0,1,0
22,521,522,2020-03-31,8:30 PM,Punjab,-,-,1,3,41,22,41,3,1,0,3,2
23,551,552,2020-04-01,7:30 PM,Punjab,-,-,1,3,42,23,42,1,1,0,3,0
24,580,581,2020-04-02,6:00 PM,Punjab,-,-,1,4,46,24,46,4,1,0,4,1
25,610,611,2020-04-03,6:00 PM,Punjab,-,-,1,5,48,25,48,2,1,0,5,1
26,641,642,2020-04-04,6:00 PM,Punjab,-,-,1,5,57,26,57,9,1,0,5,0
27,671,672,2020-04-05,6:00 PM,Punjab,-,-,1,5,57,27,57,0,1,0,5,0
28,701,702,2020-04-06,6:00 PM,Punjab,-,-,4,6,76,28,76,19,4,3,6,1
29,731,732,2020-04-07,6:00 PM,Punjab,-,-,4,7,91,29,91,15,4,0,7,1
30,762,763,2020-04-08,5:00 PM,Punjab,-,-,4,7,91,30,91,0,4,0,7,0
31,793,794,2020-04-09,5:00 PM,Punjab,-,-,4,8,101,31,101,10,4,0,8,1
32,824,825,2020-04-10,5:00 PM,Punjab,-,-,5,11,132,32,132,31,5,1,11,3
33,855,856,2020-04-11,5:00 PM,Punjab,-,-,5,11,132,33,132,0,5,0,11,0
34,886,887,2020-04-12,5:00 PM,Punjab,-,-,5,11,151,34,151,19,5,0,11,0
35,918,919,2020-04-13,5:00 PM,Punjab,-,-,14,11,167,35,167,16,14,9,11,0
36,951,952,2020-04-14,5:00 PM,Punjab,-,-,14,12,176,36,176,9,14,0,12,1
37,984,985,2020-04-15,5:00 PM,Punjab,-,-,14,13,186,37,186,10,14,0,13,1
38,1017,1018,2020-04-16,5:00 PM,Punjab,-,-,27,13,186,38,186,0,27,13,13,0
39,1050,1051,2020-04-17,5:00 PM,Punjab,-,-,27,13,186,39,186,0,27,0,13,0
40,1083,1084,2020-04-18,5:00 PM,Punjab,-,-,27,13,202,40,202,16,27,0,13,0
41,1116,1117,2020-04-19,5:00 PM,Punjab,-,-,31,16,219,41,219,17,31,4,16,3
42,1149,1150,2020-04-20,5:00 PM,Punjab,-,-,31,16,219,42,219,0,31,0,16,0
